priority,collection_id
2,Bachhagel Bayern
2,Bächingen a.d.Brenz Bayern
2,Backnang Baden-Württemberg
2,Bad Abbach Bayern
2,Bad Aibling Bayern
2,Bad Alexandersbad Bayern
2,Bad Arolsen Hessen
2,Bad Bayersoien Bayern
2,Bad Bellingen Baden-Württemberg
2,Bad Belzig Brandenburg
2,Bad Bentheim Niedersachsen
2,Badbergen Niedersachsen
2,Bad Bergzabern Rheinland-Pfalz
2,Bad Berka Thüringen
2,Bad Berleburg Nordrhein-Westfalen
2,Bad Berneck im Fichtelgebirge Bayern
2,Bad Bertrich Rheinland-Pfalz
2,Bad Bevensen Niedersachsen
2,Bad Bibra Sachsen-Anhalt
2,Bad Birnbach Bayern
2,Bad Blankenburg Thüringen
2,Bad Bocklet Bayern
2,Bad Bodenteich Niedersachsen
2,Bad Boll Baden-Württemberg
2,Bad Brambach Sachsen
2,Bad Bramstedt Schleswig-Holstein
2,Bad Breisig Rheinland-Pfalz
2,Bad Brückenau Bayern
2,Bad Buchau Baden-Württemberg
2,Bad Camberg Hessen
2,Bad Colberg-Heldburg Thüringen
2,Baddeckenstedt Niedersachsen
2,Bad Ditzenbach Baden-Württemberg
2,Bad Doberan Mecklenburg-Vorpommern
2,Bad Driburg Nordrhein-Westfalen
2,Bad Düben Sachsen
2,Bad Dürkheim Rheinland-Pfalz
2,Bad Dürrenberg Sachsen-Anhalt
2,Bad Dürrheim Baden-Württemberg
2,Bad Eilsen Niedersachsen
2,Bad Elster Sachsen
2,Badem Rheinland-Pfalz
2,Bad Ems Rheinland-Pfalz
2,Bad Emstal Hessen
2,Baden-Baden Baden-Württemberg
2,Bad Endbach Hessen
2,Badendorf Schleswig-Holstein
2,Bad Endorf Bayern
2,Badenhard Rheinland-Pfalz
2,Badenheim Rheinland-Pfalz
2,Badenweiler Baden-Württemberg
2,Bad Essen Niedersachsen
2,Bad Fallingbostel Niedersachsen
2,Bad Feilnbach Bayern
2,Bad Frankenhausen/Kyffhäuser Thüringen
2,Bad Freienwalde (Oder) Brandenburg
2,Bad Friedrichshall Baden-Württemberg
